Node 	2141 (a: 	9663) 	Degree 	20 (	20) match with a_node 	9663 (deg 	20): 	0.101748 (No. 	1, score 	0.101748/0.101748)
Node 	2333 (a: 	2333) 	Degree 	20 (	20) match with a_node 	2333 (deg 	20): 	0.101628 (No. 	1, score 	0.101628/0.101628)
Node 	2404 (a: 	2528) 	Degree 	14 (	14) match with a_node 	2528 (deg 	14): 	0.101307 (No. 	1, score 	0.101307/0.101307)
Node 	2232 (a: 	2073) 	Degree 	16 (	16) match with a_node 	2073 (deg 	16): 	0.100848 (No. 	1, score 	0.100848/0.100848)
Node 	2419 (a: 	1588) 	Degree 	14 (	14) match with a_node 	1588 (deg 	14): 	0.100731 (No. 	1, score 	0.100731/0.100731)
Node 	2357 (a: 	4861) 	Degree 	20 (	20) match with a_node 	4861 (deg 	20): 	0.0999615 (No. 	1, score 	0.0999615/0.0999615)
Node 	2187 (a: 	6983) 	Degree 	26 (	26) match with a_node 	6983 (deg 	26): 	0.0992628 (No. 	1, score 	0.0992628/0.0992628)
Node 	2127 (a: 	322) 	Degree 	29 (	29) match with a_node 	322 (deg 	29): 	0.0988793 (No. 	1, score 	0.0988793/0.0988793)
Node 	2251 (a: 	4433) 	Degree 	21 (	21) match with a_node 	4433 (deg 	21): 	0.0983939 (No. 	1, score 	0.0983939/0.0983939)
Node 	2387 (a: 	4790) 	Degree 	12 (	12) match with a_node 	4790 (deg 	12): 	0.0983639 (No. 	1, score 	0.0983639/0.0983639)
Node 	5404 (a: 	3875) 	Degree 	76 (	76) match with a_node 	3875 (deg 	76): 	0.097712 (No. 	1, score 	0.097712/0.097712)
Node 	2301 (a: 	7892) 	Degree 	25 (	25) match with a_node 	7892 (deg 	25): 	0.0972099 (No. 	1, score 	0.0972099/0.0972099)
Node 	5437 (a: 	5437) 	Degree 	59 (	59) match with a_node 	5437 (deg 	59): 	0.0963915 (No. 	1, score 	0.0963915/0.0963915)
Node 	5435 (a: 	4326) 	Degree 	117 (	117) match with a_node 	4326 (deg 	117): 	0.0952229 (No. 	1, score 	0.0952229/0.0952229)
